Treatment	Genotype	Overlap	Frequency	Simulation
Control	mutS2A/B	15	0.0087719298245614	0.0023943506565155
Control	mutS2A/B	16	0.0175438596491228	0.00157784398102174
Control	mutS2A/B	17	0.0350877192982456	0.0010482180293501
Control	mutS2A/B	18	0.0087719298245614	0.00088270991945272
Control	mutS2A/B	19	0.0175438596491228	0.000871676045459561
Control	mutS2A/B	20	0	0.000684100187575858
Control	mutS2A/B	21	0	0.000684100187575858
Control	mutS2A/B	22	0	0.000518592077678473
Control	mutS2A/B	23	0	0.000319982345801611
Control	mutS2A/B	24	0.0087719298245614	0.000198609731876862
Control	mutS2A/B	25	0	0.000231711353856339
Control	mutS2A/B	26	0.0087719298245614	0.000253779101842657
Control	mutS2A/B	27	0	0.000143440361911067
Control	mutS2A/B	28	0	0.000121372613924749
Control	mutS2A/B	29	0	0.000165508109897385
Control	mutS2A/B	30	0	0.00011033873993159
Cipro	WT	0	0.0230260741828865	0.455147302217809
Cipro	WT	1	0.0175174439955931	0.225399977932252
Cipro	WT	2	0.0101358795446199	0.0876310272536688
Cipro	WT	3	0.00631656261476313	0.0727132296149178
Cipro	WT	4	0.0121189864120455	0.0453933576078561
Cipro	WT	5	0.0125229526257804	0.0247820809886351
Cipro	WT	6	0.011972089607051	0.019640295707823
Cipro	WT	7	0.0139551964744767	0.0138144102394351
Cipro	WT	8	0.0198861549761293	0.0116959064327485
Cipro	WT	9	0.02959970620639	0.00849608297473243
Cipro	WT	10	0.053892765332354	0.00601346132627165
Cipro	WT	11	0.0367792875504958	0.0050866159108463
Cipro	WT	12	0.0441241278002203	0.00380668652763985
Cipro	WT	13	0.0629085567388909	0.00332119607194086
Cipro	WT	14	0.0474843922144693	0.00247158777446762
Cipro	WT	15	0.0331803158281307	0.0023943506565155
Cipro	WT	16	0.029012118986412	0.00157784398102174
Cipro	WT	17	0.0466213734851267	0.0010482180293501
Cipro	WT	18	0.0314175541681968	0.00088270991945272
Cipro	WT	19	0.00908923980903415	0.000871676045459561
Cipro	WT	20	0.0138633859713551	0.000684100187575858
Cipro	WT	21	0.00901579140653691	0.000684100187575858
Cipro	WT	22	0.00875872199779655	0.000518592077678473
Cipro	WT	23	0.00697759823723834	0.000319982345801611
Cipro	WT	24	0.0312155710613294	0.000198609731876862
Cipro	WT	25	0.00945648182152038	0.000231711353856339
Cipro	WT	26	0.0174256334924715	0.000253779101842657
Cipro	WT	27	0.00288284979801689	0.000143440361911067
Cipro	WT	28	0.00457216305545354	0.000121372613924749
Cipro	WT	29	0.0208960705104664	0.000165508109897385
Cipro	WT	30	0.000734484024972457	0.00011033873993159
Cipro	mutS2A/B	0	0.0274801637438722	0.455147302217809
Cipro	mutS2A/B	1	0.0229190882902916	0.225399977932252
Cipro	mutS2A/B	2	0.0115732551675342	0.0876310272536688
Cipro	mutS2A/B	3	0.00891999797847071	0.0727132296149178
Cipro	mutS2A/B	4	0.0126471926012028	0.0453933576078561
Cipro	mutS2A/B	5	0.0107899125688583	0.0247820809886351
Cipro	mutS2A/B	6	0.0109794309395057	0.019640295707823
Cipro	mutS2A/B	7	0.0154267953706979	0.0138144102394351
Cipro	mutS2A/B	8	0.0211376156062061	0.0116959064327485
Cipro	mutS2A/B	9	0.0312452620407338	0.00849608297473243
Cipro	mutS2A/B	10	0.0488452013948552	0.00601346132627165
Cipro	mutS2A/B	11	0.0373477535755799	0.0050866159108463
Cipro	mutS2A/B	12	0.0452948905847273	0.00380668652763985
Cipro	mutS2A/B	13	0.0681255369687168	0.00332119607194086
Cipro	mutS2A/B	14	0.0494769292970132	0.00247158777446762
Cipro	mutS2A/B	15	0.0293121746601304	0.0023943506565155
Cipro	mutS2A/B	16	0.0291100217314398	0.00157784398102174
Cipro	mutS2A/B	17	0.0532293930358316	0.0010482180293501
Cipro	mutS2A/B	18	0.0296912114014252	0.00088270991945272
Cipro	mutS2A/B	19	0.00938747662606762	0.000871676045459561
