Treatment	Genotype	Overlap	Frequency	Simulation
Cipro	WT	17	0.0347222222222222	0.00242643262777491
Cipro	WT	18	0.0124378109452736	0.00234383066597832
Cipro	WT	19	0.0327529021558872	0.00194114610221993
Cipro	WT	20	0.015650912106136	0.00159008776458441
Cipro	WT	21	0.00704809286898839	0.00130098089829633
Cipro	WT	22	0.0121268656716418	0.00133195663397006
Cipro	WT	23	0.00621890547263682	0.00103252452245741
Cipro	WT	24	0.019589552238806	0.000949922560660816
Cipro	WT	25	0.019485903814262	0.000815694372741353
Cipro	WT	26	0.00134742951907131	0.000619514713474445
Cipro	WT	27	0.00290215588723051	0.000567888487351575
Cipro	WT	28	0.00393864013266998	0.000526587506453278
Cipro	WT	29	0.0068407960199005	0.000567888487351575
Cipro	WT	30	0.0107794361525705	0.00045431078988126
Cipro	mutS2A/B	0	0.0538339021615472	0.407620030975736
Cipro	mutS2A/B	1	0.0562457337883959	0.216809499225607
Cipro	mutS2A/B	2	0.0253469852104664	0.0897883324728962
Cipro	mutS2A/B	3	0.0170193401592719	0.0781208053691275
Cipro	mutS2A/B	4	0.0195676905574516	0.0500980898296335
Cipro	mutS2A/B	5	0.0161547212741752	0.0290758905524006
Cipro	mutS2A/B	6	0.013287827076223	0.0245224574083634
Cipro	mutS2A/B	7	0.0175654152445961	0.0170160041300981
Cipro	mutS2A/B	8	0.0270762229806598	0.0151058337635519
Cipro	mutS2A/B	9	0.0355858930602958	0.0117294785751162
Cipro	mutS2A/B	10	0.0414106939704209	0.00892101187403201
Cipro	mutS2A/B	11	0.0531058020477816	0.00762003097573567
Cipro	mutS2A/B	12	0.0821843003412969	0.00620547237996902
Cipro	mutS2A/B	13	0.0627986348122867	0.00525554981930821
Cipro	mutS2A/B	14	0.0578839590443686	0.00462570986060919
Cipro	mutS2A/B	15	0.0483276450511945	0.00375838926174497
Cipro	mutS2A/B	16	0.0257110352673493	0.00319050077439339
Cipro	mutS2A/B	17	0.0406825938566553	0.00242643262777491
Cipro	mutS2A/B	18	0.0113310580204778	0.00234383066597832
Cipro	mutS2A/B	19	0.0293515358361775	0.00194114610221993
Cipro	mutS2A/B	20	0.0145620022753129	0.00159008776458441
Cipro	mutS2A/B	21	0.00573378839590444	0.00130098089829633
Cipro	mutS2A/B	22	0.00914675767918089	0.00133195663397006
Cipro	mutS2A/B	23	0.00450511945392491	0.00103252452245741
Cipro	mutS2A/B	24	0.0243003412969283	0.000949922560660816
Cipro	mutS2A/B	25	0.0141524459613197	0.000815694372741353
Cipro	mutS2A/B	26	0.00131968145620023	0.000619514713474445
Cipro	mutS2A/B	27	0.0043230944254835	0.000567888487351575
Cipro	mutS2A/B	28	0.00618885096700796	0.000526587506453278
Cipro	mutS2A/B	29	0.00887372013651877	0.000567888487351575
Cipro	mutS2A/B	30	0.0119681456200228	0.00045431078988126
