Genotype,F1,F2,Plate,Block,Drug,DC,Conentration,FvFm,Root,,
W,2,16,17,2,Erythromycin,Ery_0.4,0.4,0.764,27.861,,
W,2,41,17,2,Erythromycin,Ery_0.4,0.4,0.762,29.025,,
A,2,8,17,2,Erythromycin,Ery_0.4,0.4,0.72,25.324,,
A,2,9,17,2,Erythromycin,Ery_0.4,0.4,0.711,24.977,,
BA,2,13,18,3,Erythromycin,Ery_0.4,0.4,0.699,24.334,,
BA,2,26,18,3,Erythromycin,Ery_0.4,0.4,0.566,1.909,,
W,2,16,18,3,Erythromycin,Ery_0.4,0.4,0.755,6.577,,
W,2,41,18,3,Erythromycin,Ery_0.4,0.4,0.757,24.41,,
A,2,8,18,3,Erythromycin,Ery_0.4,0.4,0.725,25.436,,
A,2,9,18,3,Erythromycin,Ery_0.4,0.4,0.603,4.086,,
B,2,62,18,3,Erythromycin,Ery_0.4,0.4,0.6,5.408,,
B,2,69,18,3,Erythromycin,Ery_0.4,0.4,0.656,23.481,,
W,2,16,19,4,Erythromycin,Ery_0.4,0.4,0.769,6.9,,
W,2,41,19,4,Erythromycin,Ery_0.4,0.4,0.765,23.617,,
A,2,8,19,4,Erythromycin,Ery_0.4,0.4,0.731,4.132,,
A,2,9,19,4,Erythromycin,Ery_0.4,0.4,0.681,19.163,,
B,2,62,19,4,Erythromycin,Ery_0.4,0.4,0.54,19.504,,
B,2,69,19,4,Erythromycin,Ery_0.4,0.4,0.695,19.111,,
BA,2,13,19,4,Erythromycin,Ery_0.4,0.4,0.711,20.292,,
BA,2,26,19,4,Erythromycin,Ery_0.4,0.4,0.714,22.657,,
A,2,8,20,5,Erythromycin,Ery_0.4,0.4,0.712,21.302,,
A,2,9,20,5,Erythromycin,Ery_0.4,0.4,0.74,21.969,,
B,2,62,20,5,Erythromycin,Ery_0.4,0.4,0.741,25.241,,
B,2,69,20,5,Erythromycin,Ery_0.4,0.4,0.749,20.761,,
BA,2,13,20,5,Erythromycin,Ery_0.4,0.4,0.724,24.291,,
BA,2,26,20,5,Erythromycin,Ery_0.4,0.4,0.74,19.556,,
W,2,16,20,5,Erythromycin,Ery_0.4,0.4,0.762,24.178,,
W,2,41,20,5,Erythromycin,Ery_0.4,0.4,0.752,26.352,,
A,2,8,21,1,Hygromycin,Hyg_0.4,0.4,0.763,23.726,,
A,2,9,21,1,Hygromycin,Hyg_0.4,0.4,0.768,23.955,,
B,2,62,21,1,Hygromycin,Hyg_0.4,0.4,0.766,24.639,,
B,2,69,21,1,Hygromycin,Hyg_0.4,0.4,0.756,24.808,,
BA,2,13,21,1,Hygromycin,Hyg_0.4,0.4,0.723,4.298,,
BA,2,26,21,1,Hygromycin,Hyg_0.4,0.4,0.768,23.875,,
W,2,16,21,1,Hygromycin,Hyg_0.4,0.4,0.756,27.859,,
W,2,41,21,1,Hygromycin,Hyg_0.4,0.4,0.762,26.64,,
B,2,62,22,2,Hygromycin,Hyg_0.4,0.4,0.763,22.855,,
B,2,69,22,2,Hygromycin,Hyg_0.4,0.4,0.761,14.024,,
BA,2,13,22,2,Hygromycin,Hyg_0.4,0.4,0.721,5.018,,
BA,2,26,22,2,Hygromycin,Hyg_0.4,0.4,0.754,24.662,,
W,2,16,22,2,Hygromycin,Hyg_0.4,0.4,0.686,1.963,,
W,2,41,22,2,Hygromycin,Hyg_0.4,0.4,0.753,25.127,,
A,2,8,22,2,Hygromycin,Hyg_0.4,0.4,0.766,25.984,,
A,2,9,22,2,Hygromycin,Hyg_0.4,0.4,0.704,4.214,,
BA,2,13,23,3,Hygromycin,Hyg_0.4,0.4,0.765,28.777,,
BA,2,26,23,3,Hygromycin,Hyg_0.4,0.4,0.691,2.963,,
W,2,16,23,3,Hygromycin,Hyg_0.4,0.4,0.763,27.439,,
W,2,41,23,3,Hygromycin,Hyg_0.4,0.4,0.765,29.436,,
A,2,8,23,3,Hygromycin,Hyg_0.4,0.4,0.764,29.27,,
A,2,9,23,3,Hygromycin,Hyg_0.4,0.4,0.772,30.85,,
B,2,62,23,3,Hygromycin,Hyg_0.4,0.4,0.762,29.184,,
B,2,69,23,3,Hygromycin,Hyg_0.4,0.4,0.766,25.271,,
W,2,16,24,4,Hygromycin,Hyg_0.4,0.4,0.771,21.579,,
W,2,41,24,4,Hygromycin,Hyg_0.4,0.4,0.762,27.352,,
A,2,8,24,4,Hygromycin,Hyg_0.4,0.4,0.771,20.609,,
A,2,9,24,4,Hygromycin,Hyg_0.4,0.4,0.762,8.315,,
B,2,62,24,4,Hygromycin,Hyg_0.4,0.4,0.768,24.963,,
B,2,69,24,4,Hygromycin,Hyg_0.4,0.4,0.752,21.745,,
BA,2,13,24,4,Hygromycin,Hyg_0.4,0.4,0.758,24.371,,
BA,2,26,24,4,Hygromycin,Hyg_0.4,0.4,0.757,24.512,,
A,2,8,25,5,Hygromycin,Hyg_0.4,0.4,0.758,26.233,,
A,2,9,25,5,Hygromycin,Hyg_0.4,0.4,0.764,21.581,,
B,2,62,25,5,Hygromycin,Hyg_0.4,0.4,0.776,23.51,,
B,2,69,25,5,Hygromycin,Hyg_0.4,0.4,0.762,22.787,,
BA,2,13,25,5,Hygromycin,Hyg_0.4,0.4,0.753,26.843,,
BA,2,26,25,5,Hygromycin,Hyg_0.4,0.4,0.73,4.154,,
W,2,16,25,5,Hygromycin,Hyg_0.4,0.4,0.764,24.197,,
W,2,41,25,5,Hygromycin,Hyg_0.4,0.4,0.765,24.624,,
A,2,8,26,1,Spectinomycin,Spec_0.4,0.4,0.75,18.026,,
A,2,9,26,1,Spectinomycin,Spec_0.4,0.4,0.744,24.886,,
B,2,62,26,1,Spectinomycin,Spec_0.4,0.4,0.762,27.18,,
B,2,69,26,1,Spectinomycin,Spec_0.4,0.4,0.765,24.172,,
BA,2,13,26,1,Spectinomycin,Spec_0.4,0.4,0.754,27.602,,
BA,2,26,26,1,Spectinomycin,Spec_0.4,0.4,0.758,23.507,,
W,2,16,26,1,Spectinomycin,Spec_0.4,0.4,0.758,25.828,,
W,2,41,26,1,Spectinomycin,Spec_0.4,0.4,0.73,31.449,,
B,2,62,27,2,Spectinomycin,Spec_0.4,0.4,0.763,24.013,,
B,2,69,27,2,Spectinomycin,Spec_0.4,0.4,0.754,24.872,,
BA,2,13,27,2,Spectinomycin,Spec_0.4,0.4,0.631,1.711,,
BA,2,26,27,2,Spectinomycin,Spec_0.4,0.4,0.751,24.437,,
W,2,16,27,2,Spectinomycin,Spec_0.4,0.4,0.75,25.689,,
W,2,41,27,2,Spectinomycin,Spec_0.4,0.4,0.752,27.27,,
A,2,8,27,2,Spectinomycin,Spec_0.4,0.4,0.752,24.295,,
A,2,9,27,2,Spectinomycin,Spec_0.4,0.4,0.757,28.256,,
BA,2,13,28,3,Spectinomycin,Spec_0.4,0.4,0.748,25.836,,
BA,2,26,28,3,Spectinomycin,Spec_0.4,0.4,0.768,26.935,,
W,2,16,28,3,Spectinomycin,Spec_0.4,0.4,0.77,28.968,,
W,2,41,28,3,Spectinomycin,Spec_0.4,0.4,0.762,29.021,,
A,2,8,28,3,Spectinomycin,Spec_0.4,0.4,0.762,29.604,,
A,2,9,28,3,Spectinomycin,Spec_0.4,0.4,0.756,21.773,,
B,2,62,28,3,Spectinomycin,Spec_0.4,0.4,0.766,30.027,,
B,2,69,28,3,Spectinomycin,Spec_0.4,0.4,0.756,23.487,,
W,2,16,29,4,Spectinomycin,Spec_0.4,0.4,0.754,26.821,,
W,2,41,29,4,Spectinomycin,Spec_0.4,0.4,0.744,28.795,,
A,2,8,29,4,Spectinomycin,Spec_0.4,0.4,0.73,9.802,,
A,2,9,29,4,Spectinomycin,Spec_0.4,0.4,0.75,26.041,,
B,2,62,29,4,Spectinomycin,Spec_0.4,0.4,0.754,14.86,,
B,2,69,29,4,Spectinomycin,Spec_0.4,0.4,0.749,23.212,,
BA,2,13,29,4,Spectinomycin,Spec_0.4,0.4,0.746,25.773,,
BA,2,26,29,4,Spectinomycin,Spec_0.4,0.4,0.749,22.961,,
A,2,8,30,5,Spectinomycin,Spec_0.4,0.4,0.812,28.148,,
A,2,9,30,5,Spectinomycin,Spec_0.4,0.4,0.766,5.83,,
B,2,62,30,5,Spectinomycin,Spec_0.4,0.4,0.817,24.065,,
B,2,69,30,5,Spectinomycin,Spec_0.4,0.4,0.813,27.858,,
BA,2,13,30,5,Spectinomycin,Spec_0.4,0.4,0.819,27.178,,
BA,2,26,30,5,Spectinomycin,Spec_0.4,0.4,0.809,27.693,,
W,2,16,30,5,Spectinomycin,Spec_0.4,0.4,0.808,26.318,,
W,2,41,30,5,Spectinomycin,Spec_0.4,0.4,0.809,25.797,,
A,2,8,31,1,Chloramphenicol,Chl_2,2,NA,NA,not germ,
A,2,9,31,1,Chloramphenicol,Chl_2,2,0.167,3.334,,
B,2,62,31,1,Chloramphenicol,Chl_2,2,0.222,2.733,,
B,2,69,31,1,Chloramphenicol,Chl_2,2,0.156,2.403,,
BA,2,13,31,1,Chloramphenicol,Chl_2,2,0.165,2.933,,
BA,2,26,31,1,Chloramphenicol,Chl_2,2,0.219,2.616,,
W,2,16,31,1,Chloramphenicol,Chl_2,2,0.708,7.367,,
W,2,41,31,1,Chloramphenicol,Chl_2,2,0.736,9.09,,
B,2,62,32,2,Chloramphenicol,Chl_2,2,0.123,2.507,,
B,2,69,32,2,Chloramphenicol,Chl_2,2,0.329,3.88,,
BA,2,13,32,2,Chloramphenicol,Chl_2,2,0.205,3.404,,
BA,2,26,32,2,Chloramphenicol,Chl_2,2,0.086,1.151,,
W,2,16,32,2,Chloramphenicol,Chl_2,2,0.715,7.088,,
W,2,41,32,2,Chloramphenicol,Chl_2,2,0.714,1.627,,
A,2,8,32,2,Chloramphenicol,Chl_2,2,0,1.178,,
A,2,9,32,2,Chloramphenicol,Chl_2,2,0.255,3.321,,
BA,2,13,33,3,Chloramphenicol,Chl_2,2,0.211,3.392,,
BA,2,26,33,3,Chloramphenicol,Chl_2,2,0.159,1.901,,
W,2,16,33,3,Chloramphenicol,Chl_2,2,0.602,5.053,,
W,2,41,33,3,Chloramphenicol,Chl_2,2,0.567,3.048,,
A,2,8,33,3,Chloramphenicol,Chl_2,2,0.199,3.443,,
A,2,9,33,3,Chloramphenicol,Chl_2,2,0.159,2.634,,
B,2,62,33,3,Chloramphenicol,Chl_2,2,0.286,2.873,,
B,2,69,33,3,Chloramphenicol,Chl_2,2,0.116,1.98,,
W,2,16,34,4,Chloramphenicol,Chl_2,2,0.697,NA,leaf but no root,
W,2,41,34,4,Chloramphenicol,Chl_2,2,0.713,7.185,,
A,2,8,34,4,Chloramphenicol,Chl_2,2,0.189,2.759,,
A,2,9,34,4,Chloramphenicol,Chl_2,2,0.153,2.96,,
B,2,62,34,4,Chloramphenicol,Chl_2,2,0.113,2.567,,
B,2,69,34,4,Chloramphenicol,Chl_2,2,0.223,2.674,,
BA,2,13,34,4,Chloramphenicol,Chl_2,2,0,2.714,root but no leaf,
BA,2,26,34,4,Chloramphenicol,Chl_2,2,0.117,1.822,,
A,2,8,35,5,Chloramphenicol,Chl_2,2,0.227,3.101,,
A,2,9,35,5,Chloramphenicol,Chl_2,2,0.717,3.507,,
B,2,62,35,5,Chloramphenicol,Chl_2,2,0.192,3.369,,
B,2,69,35,5,Chloramphenicol,Chl_2,2,0.251,3.374,,
BA,2,13,35,5,Chloramphenicol,Chl_2,2,0.18,2.955,,
BA,2,26,35,5,Chloramphenicol,Chl_2,2,0.524,6.945,,
W,2,16,35,5,Chloramphenicol,Chl_2,2,0.757,6.027,,
W,2,41,35,5,Chloramphenicol,Chl_2,2,0.757,9.708,,
A,2,8,36,1,Erythromycin,Ery_2,2,0.449,3.598,,
A,2,9,36,1,Erythromycin,Ery_2,2,0.509,17.675,,
